"id продукта";"Шифр продукта";"Название продукта";ед.изм.;"Дата расхода";"Ясли 10,5 к-во";"Ясли 10,5 стоимость";"САД 10,5 к-во";"САД 10,5 стоимость";"Сотрудники к-во";"Сотрудники стоимость";"Всего к-во";"Всего стоимость"
213|13;610001;"Говядина (т/часть)";кг;2020-05-06;0.713;8.16;5.287;60.55;0;0;6;68.71
213|13;610001;"Говядина (т/часть)";кг;2020-05-07;0.496;5.68;2.504;28.67;0;0;3;34.35
212|16;610002;"Свинина (т/ч)";кг;2020-05-07;0.394;3.99;1.606;16.28;0;0;2;20.27
193;610024;Печень;кг;2020-05-05;1.156;5.01;7.844;33.99;0;0;9;39
88;610009;Цыплята;кг;2020-05-04;1.984;7.63;8.617;33.18;0;0;10.601;40.81
214|9;611008;"Рыба (минтай неразделаный)";кг;2020-05-05;1.082;6.17;5.896;33.66;0;0;6.978;39.83
214|9;611008;"Рыба (минтай неразделаный)";кг;2020-05-04;0.824;4.7;5.106;29.15;0;0;5.93;33.85
94;612001;"Масло крестьянское";кг;2020-05-04;0.184;2.42;1.882;24.73;0.098;1.28;2.164;28.43
94;612001;"Масло крестьянское";кг;2020-05-07;0.153;2.01;1.676;22.02;0;0;1.829;24.03
94;612001;"Масло крестьянское";кг;2020-05-06;0.276;3.62;1.758;23.1;0.096;1.26;2.13;27.98
94;612001;"Масло крестьянское";кг;2020-05-05;0.244;3.21;1.836;24.12;0.096;1.26;2.176;28.59
95;612025;"Масло растительное";кг;2020-05-07;0.206;0.44;1.137;2.44;0.176;0.38;1.519;3.26
95;612025;"Масло растительное";кг;2020-05-06;0.063;0.13;0.882;1.89;0.096;0.21;1.041;2.23
95;612025;"Масло растительное";кг;2020-05-05;0.199;0.43;1.914;4.1;0;0;2.113;4.53
95;612025;"Масло растительное";кг;2020-05-04;0.219;0.47;1.422;3.05;0.098;0.21;1.739;3.73
96;612036;"Молоко свежее";кг;2020-05-04;3.296;3.83;7.481;8.68;0;0;10.777;12.51
96;612036;"Молоко свежее";кг;2020-05-05;5.348;6.21;39.081;45.38;7.68;8.91;52.109;60.5
96;612036;"Молоко свежее";кг;2020-05-06;3.715;4.31;26.607;30.89;0;0;30.322;35.2
96;612036;"Молоко свежее";кг;2020-05-07;4.658;5.4;30.873;35.85;0;0;35.531;41.25
180;612039;Йогурт;кг;2020-05-07;2.5;9.24;11.5;42.5;0;0;14;51.74
180;612039;Йогурт;кг;2020-05-06;1.875;6.92;11.875;43.89;0;0;13.75;50.81
99;612053;Кефир;кг;2020-05-06;2.487;2.82;19.113;21.73;0;0;21.6;24.55
99;612053;Кефир;кг;2020-05-07;0.708;0.81;4.692;5.33;0;0;5.4;6.14
99;612053;Кефир;кг;2020-05-04;0;0;18.9;21.47;0;0;18.9;21.47
100;612060;Сметана;кг;2020-05-07;0.045;0.17;0.38;1.44;0.375;1.42;0.8;3.03
100;612060;Сметана;кг;2020-05-06;0.263;0.99;1.805;6.85;0.332;1.26;2.4;9.1
100;612060;Сметана;кг;2020-05-04;0.327;1.24;1.675;6.35;0.398;1.51;2.4;9.1
215;612067;Творог;кг;2020-05-06;1.484;8.23;12.816;71.13;0;0;14.3;79.36
211;612075;Сыр;кг;2020-05-05;0.216;2.72;1.384;17.43;0;0;1.6;20.15
211;612075;Сыр;кг;2020-05-04;0;0;1.2;15.11;0;0;1.2;15.11
103;612084;"Яйцо (шт)";шт;2020-05-07;3;0.57;14;2.64;0;0;17;3.21
103;612084;"Яйцо (шт)";шт;2020-05-06;2;0.38;9;1.7;0;0;11;2.08
104;613001;"Мука пшеничная";кг;2020-05-07;0.443;0.36;2.807;2.31;0;0;3.25;2.67
104;613001;"Мука пшеничная";кг;2020-05-04;0.103;0.08;0.837;0.69;0;0;0.94;0.77
104;613001;"Мука пшеничная";кг;2020-05-06;0.166;0.13;1.899;1.57;0;0;2.065;1.7
104;613001;"Мука пшеничная";кг;2020-05-05;0;0;0.004;0;0;0;0.004;0
105;613002;"Сухари панировочные";кг;2020-05-04;0;0;0.65;0.8;0;0;0.65;0.8
105;613002;"Сухари панировочные";кг;2020-05-06;0;0;0.712;0.88;0;0;0.712;0.88
105;613002;"Сухари панировочные";кг;2020-05-07;0.06;0.07;0.276;0.34;0;0;0.336;0.41
105;613002;"Сухари панировочные";кг;2020-05-05;0;0;0.605;0.74;0;0;0.605;0.74
106;613016;Крахмал;кг;2020-05-06;0.09;0.24;0.76;2.1;0;0;0.85;2.34
107;613029;"Крупа гречневая ядрица";кг;2020-05-04;0.606;0.93;0;0;0;0;0.606;0.93
108;613030;"Крупа манная";кг;2020-05-06;0.518;0.55;2.452;2.62;0;0;2.97;3.17
108;613030;"Крупа манная";кг;2020-05-07;0.096;0.1;0.442;0.47;0;0;0.538;0.57
110;613032;"Крупа перловая";кг;2020-05-04;0.054;0.05;0.376;0.36;0.196;0.19;0.626;0.6
111;613041;"Крупа рисовая";кг;2020-05-05;0.407;0.65;2.491;4.03;0;0;2.898;4.68
111;613041;"Крупа рисовая";кг;2020-05-07;0.33;0.53;2.518;4.07;0;0;2.848;4.6
112;613045;Пшено;кг;2020-05-05;0;0;0.008;0.01;0;0;0.008;0.01
113;613052;"Макаронные изделия";кг;2020-05-05;0.192;0.21;1.488;1.66;0.768;0.86;2.448;2.73
113;613052;"Макаронные изделия";кг;2020-05-04;0;0;4.02;4.48;0;0;4.02;4.48
114;613066;"Овсяные хлопья ""Геркулес""";кг;2020-05-06;0;0;0.053;0.06;0;0;0.053;0.06
117;614002;Сахар;кг;2020-05-05;0.838;0.9;5.805;6.26;0.048;0.05;6.691;7.21
117;614002;Сахар;кг;2020-05-06;0.678;0.73;5.557;5.99;0.096;0.1;6.331;6.82
117;614002;Сахар;кг;2020-05-07;0.613;0.66;3.869;4.17;0;0;4.482;4.83
117;614002;Сахар;кг;2020-05-04;0.466;0.5;2.89;3.11;0;0;3.356;3.61
119;614024;Повидло;кг;2020-05-07;0.203;0.34;1.394;2.3;0;0;1.597;2.64
120;614058;Вафли;кг;2020-05-04;0.306;1.18;3.196;12.41;0;0;3.502;13.59
122;615027;"Смесь сухофруктов";кг;2020-05-05;0.24;0.57;1.9;4.5;0;0;2.14;5.07
122;615027;"Смесь сухофруктов";кг;2020-05-04;0.03;0.08;0.08;0.18;0;0;0.11;0.26
122;615027;"Смесь сухофруктов";кг;2020-05-07;0;0;0.02;0.04;0;0;0.02;0.04
162;615030;Чернослив;кг;2020-05-07;0;0;0.05;0.25;0;0;0.05;0.25
124;615037;Апельсины;кг;2020-05-04;0.268;0.55;2.015;4.14;0;0;2.283;4.69
124;615037;Апельсины;кг;2020-05-06;2.987;6.14;0;0;0;0;2.987;6.14
126;615054;Яблоки;кг;2020-05-06;0.662;0.95;15.187;22.03;0;0;15.849;22.98
126;615054;Яблоки;кг;2020-05-05;1.82;2.64;10.991;15.93;0;0;12.811;18.57
229;615098;Нектар;кг;2020-05-05;2.72;1.92;18.28;12.88;0;0;21;14.8
229;615098;Нектар;кг;2020-05-07;2.848;1.87;18.152;11.97;0;0;21;13.84
128;615278;Картофель;кг;2020-05-06;3.5;1.35;22.874;8.8;1.282;0.49;27.656;10.64
128;615278;Картофель;кг;2020-05-07;4.084;1.57;24.533;9.44;2.2;0.84;30.817;11.85
128;615278;Картофель;кг;2020-05-05;1.92;0.73;17.874;6.88;0;0;19.794;7.61
128;615278;Картофель;кг;2020-05-04;2.927;1.12;21.483;8.26;4.9;1.89;29.31;11.27
129;615279;"Капуста свежая";кг;2020-05-05;0.64;0.22;5.7;1.98;0;0;6.34;2.2
129;615279;"Капуста свежая";кг;2020-05-07;0.9;0.29;5.52;1.79;2.64;0.86;9.06;2.94
129;615279;"Капуста свежая";кг;2020-05-06;0.225;0.07;1.9;0.61;0.96;0.32;3.085;1
131;615282;"Лук репчатый";кг;2020-05-06;0.107;0.05;0.903;0.42;0.456;0.21;1.466;0.68
131;615282;"Лук репчатый";кг;2020-05-07;0.343;0.15;1.794;0.84;0.418;0.2;2.555;1.19
131;615282;"Лук репчатый";кг;2020-05-05;0.038;0.01;0.31;0.15;0;0;0.348;0.16
131;615282;"Лук репчатый";кг;2020-05-04;0.499;0.24;3.236;1.56;0.235;0.11;3.97;1.91
132;615284;"Морковь свежая";кг;2020-05-04;1.133;0.33;7.461;2.23;0.524;0.16;9.118;2.72
132;615284;"Морковь свежая";кг;2020-05-05;0.514;0.15;4.579;1.36;0;0;5.093;1.51
132;615284;"Морковь свежая";кг;2020-05-06;1.047;0.31;4.561;1.36;0.638;0.19;6.246;1.86
132;615284;"Морковь свежая";кг;2020-05-07;0.573;0.17;3.354;1;0.585;0.17;4.512;1.34
134|1;615289;"Огурцы соленые (консервированные)";кг;2020-05-04;0.662;0.92;3.347;4.67;1.791;2.5;5.8;8.09
136;615294;Свекла;кг;2020-05-04;0.147;0.05;0.959;0.36;0;0;1.106;0.41
136;615294;Свекла;кг;2020-05-07;0.384;0.14;2.191;0.83;0;0;2.575;0.97
136;615294;Свекла;кг;2020-05-06;0.48;0.18;4.057;1.53;2.05;0.77;6.587;2.48
136;615294;Свекла;кг;2020-05-05;0.384;0.14;2.656;1;0;0;3.04;1.14
137;615205;"Томатная паста";кг;2020-05-06;0.009;0.03;0.076;0.29;0.038;0.15;0.123;0.47
137;615205;"Томатная паста";кг;2020-05-04;0.019;0.07;0.125;0.48;0;0;0.144;0.55
137;615205;"Томатная паста";кг;2020-05-05;0;0;0.002;0;0;0;0.002;0
159;615271;"Зеленый горошек";кг;2020-05-05;0.32;0.6;2.23;4.21;0;0;2.55;4.81
159;615271;"Зеленый горошек";кг;2020-05-07;0.3;0.56;1.825;3.45;0;0;2.125;4.01
159;615271;"Зеленый горошек";кг;2020-05-04;1.752;3.31;13.548;25.59;0;0;15.3;28.9
139|20;6101477;"Батон (Хлеб пшеничный)";кг;2020-05-05;1.228;2.22;8.626;15.55;0;0;9.854;17.77
139|20;6101477;"Батон (Хлеб пшеничный)";кг;2020-05-06;0.658;1.18;5.122;9.24;1.029;1.86;6.809;12.28
139|20;6101477;"Батон (Хлеб пшеничный)";кг;2020-05-07;0.3;0.54;3.45;6.22;0;0;3.75;6.76
139|20;6101477;"Батон (Хлеб пшеничный)";кг;2020-05-04;0.321;0.57;1.766;3.19;0;0;2.087;3.76
140;616002;"Хлеб ржаной";кг;2020-05-04;0.9;1.19;4.6;6.07;5.3;6.99;10.8;14.25
140;616002;"Хлеб ржаной";кг;2020-05-05;0.84;1.1;6.65;8.78;2.75;3.63;10.24;13.51
140;616002;"Хлеб ржаной";кг;2020-05-06;0.45;0.59;3.8;5.02;2.58;3.4;6.83;9.01
140;616002;"Хлеб ржаной";кг;2020-05-07;0.6;0.8;4.6;6.07;3.83;5.05;9.03;11.92
141;616015;"Кофейный напиток";кг;2020-05-07;0.09;0.38;0.752;3.18;0;0;0.842;3.56
142;616016;Какао;кг;2020-05-05;0.051;0.39;0.368;2.82;0;0;0.419;3.21
142;616016;Какао;кг;2020-05-07;0.072;0.55;0.36;2.76;0;0;0.432;3.31
143;616022;Чай;кг;2020-05-06;0.004;0.04;0.029;0.36;0;0;0.033;0.4
143;616022;Чай;кг;2020-05-07;0;0;0;0;0;0;0;0
143;616022;Чай;кг;2020-05-05;0;0;0.001;0.01;0;0;0.001;0.01
143;616022;Чай;кг;2020-05-04;0.004;0.04;0.021;0.26;0;0;0.025;0.3
145;616042;Соль;кг;2020-05-06;0.075;0.03;0.665;0.3;0.336;0.16;1.076;0.49
145;616042;Соль;кг;2020-05-07;0.1;0.04;0.644;0.3;0.301;0.14;1.045;0.48
145;616042;Соль;кг;2020-05-04;0.09;0.04;0.658;0.31;0.343;0.16;1.091;0.51
145;616042;Соль;кг;2020-05-05;0.08;0.04;0.668;0.31;0.343;0.15;1.091;0.5
146;616054;"Лимонная кислота";кг;2020-05-05;0.004;0.02;0.03;0.21;0;0;0.034;0.23
146;616054;"Лимонная кислота";кг;2020-05-04;0.001;0.01;0.009;0.06;0;0;0.01;0.07
146;616054;"Лимонная кислота";кг;2020-05-06;0.003;0.02;0.029;0.2;0.005;0.03;0.037;0.25
146;616054;"Лимонная кислота";кг;2020-05-07;0;0;0;0;0;0;0;0
222;616056;"Аскорбиновая кислота";кг;2020-05-06;0.001;0.09;0.005;0.44;0;0;0.006;0.53
222;616056;"Аскорбиновая кислота";кг;2020-05-07;0;0;0.005;0.44;0;0;0.005;0.44
222;616056;"Аскорбиновая кислота";кг;2020-05-04;0.001;0.09;0.003;0.26;0;0;0.004;0.35
222;616056;"Аскорбиновая кислота";кг;2020-05-05;0.001;0.08;0.005;0.45;0;0;0.006;0.53
203;666666;Вода;кг;2020-05-07;6.058;0;39.487;0;6.776;0;52.321;0
203;666666;Вода;кг;2020-05-04;9.79;0;49.1;0;7.35;0;66.24;0
203;666666;Вода;кг;2020-05-05;4.791;0;35.38;0;1.152;0;41.323;0
203;666666;Вода;кг;2020-05-06;5.306;0;44.282;0;7.92;0;57.508;0
Детодни;;;;2020-05-04;18;;94;;49;;161;
Детодни;;;;2020-05-05;16;;95;;48;;159;
Детодни;;;;2020-05-06;15;;95;;48;;158;
Детодни;;;;2020-05-07;20;;92;;44;;156;
